TICKER,ISIN,SECTOR
ABB,INE117A01022,Industrials
AEGISLOG,INE208C01025,Energy
ARE&M,INE885A01032,Consumer Discretionary
AMBALALSA,INE432A01017,Healthcare
ANDHRAPET,INE714B01016,Commodities
ANSALAPI,INE436A01026,Consumer Discretionary
UTIQUE,INE096A01010,Commodities
ARUNAHTEL,INE957C01019,Consumer Discretionary
BOMDYEING,INE032A01023,Consumer Discretionary
ASIANHOTNR,INE363A01022,Consumer Discretionary
ATUL,INE100A01010,Commodities
ATVPR,INE447A01015,Industrials
BAJAJELEC,INE193E01025,Consumer Discretionary
BAJAJHIND,INE306A01021,Fast Moving Consumer Goods
FORCEMOT,INE451A01017,Consumer Discretionary
BAJFINANCE,INE296A01024,Financial Services
BALRAMCHIN,INE119A01028,Fast Moving Consumer Goods
BANCOINDIA,INE213C01025,Consumer Discretionary
CENTURYTEX,INE055A01016,Commodities
BANARISUG,INE459A01010,Fast Moving Consumer Goods
BASF,INE373A01013,Commodities
BATAINDIA,INE176A01028,Consumer Discretionary
BEML,INE258A01016,Industrials
BEL,INE263A01024,Industrials
BEPL,INE922A01025,Commodities
BIHSPONG,INE819C01011,Commodities
BINANIIND,INE071A01013,Consumer Discretionary
BIRLACABLE,INE800A01015,Telecommunication
BLUESTARCO,INE472A01039,Consumer Discretionary
DISAQ,INE131C01011,Industrials
QUESTCAP,INE418C01012,Financial Services
BPL,INE110A01019,Consumer Discretionary
OAL,INE959C01023,Commodities
CENTEXT,INE281A01026,Industrials
CESC,INE486A01021,Utilities
CHAMBLFERT,INE085A01013,Commodities
EXIDEIND,INE302A01020,Consumer Discretionary
CIPLA,INE059A01026,Healthcare
DICIND,INE303A01010,Commodities
CRISIL,INE007A01025,Financial Services
CGPOWER,INE067A01029,Industrials
DABUR,INE016A01026,Fast Moving Consumer Goods
DALMIASUG,INE495A01022,Fast Moving Consumer Goods
ARVIND,INE034A01011,Consumer Discretionary
BHEL,INE257A01026,Industrials
HINDPETRO,INE094A01015,Energy
IFCI,INE039A01010,Financial Services
MTNL,INE153A01019,Telecommunication
MRPL,INE103A01014,Energy
CHENNPETRO,INE178A01016,Energy
SBIN,INE062A01020,Financial Services
SAIL,INE114A01011,Commodities
TITAN,INE280A01028,Consumer Discretionary
IDBI,INE008A01015,Financial Services
DCW,INE500A01029,Commodities
DHAMPURSUG,INE041A01016,Fast Moving Consumer Goods
DIAMINESQ,INE591D01014,Commodities
ELANTAS,INE280B01018,Commodities
DRREDDY,INE089A01023,Healthcare
EIDPARRY,INE126A01031,Commodities
PGHL,INE199A01012,Healthcare
ELECTCAST,INE086A01029,Industrials
ESABINDIA,INE284A01012,Industrials
EPL,INE255A01020,Industrials
ESTER,INE778B01029,Industrials
FGP,INE512A01016,Financial Services
PHCAP,INE160F01013,Financial Services
FINCABLES,INE235A01022,Industrials
COCKERILL,INE515A01019,Industrials
UFLEX,INE516A01017,Industrials
FOSECOIND,INE519A01011,Commodities
GOLDENTOBC,INE973A01010,Consumer Discretionary
GANESHBE,INE388A01029,Energy
METROGLOBL,INE085D01033,Services
GTL,INE043A01012,Telecommunication
GODFRYPHLP,INE260B01028,Fast Moving Consumer Goods
GODREJIND,INE233A01035,Diversified
KANSAINER,INE531A01024,Consumer Discretionary
GOODRICKE,INE300A01016,Fast Moving Consumer Goods
GOODYEAR,INE533A01012,Consumer Discretionary
GTNINDS,INE537A01013,Consumer Discretionary
GHCL,INE539A01019,Commodities
GFLLIMITED,INE538A01037,Financial Services
GLFL,INE540A01017,Financial Services
HCL-INSYS,INE236A01020,Information Technology
HDFCBANK,INE040A01034,Financial Services
HEROMOTOCO,INE158A01026,Consumer Discretionary
HFCL,INE548A01028,Telecommunication
HSCL,INE019C01026,Commodities
HCC,INE549A01026,Industrials
HINDOILEXP,INE345A01011,Energy
AGI,INE415A01038,Industrials
HINDZINC,INE267A01025,Commodities
NDLVENTURE,INE353A01023,Financial Services
HMT,INE262A01018,Industrials
PRAGBOS,INE962B01011,Consumer Discretionary
HLVLTD,INE102A01024,Consumer Discretionary
IGPL,INE204A01010,Commodities
INDIAGLYCO,INE560A01015,Commodities
INDLEASE,INE333C01013,Financial Services
MARGOFIN,INE680B01019,Financial Services
INDORAMA,INE156A01020,Consumer Discretionary
INFY,INE009A01021,Information Technology
INGERRAND,INE177A01018,Industrials
ITHL,INE262B01016,Consumer Discretionary
IONEXCHANG,INE570A01022,Utilities
ATFL,INE209A01019,Fast Moving Consumer Goods
JISLJALEQS,INE175A01038,Industrials
JASCH,INE711C01028,Consumer Discretionary
JINDALPOLY,INE197D01010,Industrials
JSWSTEEL,INE019A01038,Commodities
UMANGDAIRY,INE864B01027,Fast Moving Consumer Goods
KAJARIACER,INE217B01036,Consumer Discretionary
KAKATCEM,INE437B01014,Commodities
KSL,INE907A01026,Industrials
KANELIND,INE252C01015,Services
WHIRLPOOL,INE716A01013,Consumer Discretionary
KGDENIM,INE104A01012,Consumer Discretionary
KINETICENG,INE266B01017,Consumer Discretionary
KIRLOSBROS,INE732A01036,Industrials
KIRLOSIND,INE250A01039,Industrials
KIRLFER,INE884B01025,Commodities
ENVAIREL,INE601C01013,Industrials
KOTAKBANK,INE237A01028,Financial Services
KRIFILIND,INE073A01019,Industrials
KSB,INE999A01015,Industrials
LGBBROSLTD,INE337A01034,Consumer Discretionary
TRENT,INE849A01020,Consumer Discretionary
LAXMIMACH,INE269B01029,Industrials
LICHSGFIN,INE115A01026,Financial Services
LUPIN,INE326A01037,Healthcare
LYKALABS,INE933A01014,Healthcare
RAMCOCEM,INE331A01037,Commodities
